Abkhazia,Abkhaz,Abkhazians
Abkhazia,Abkhazian,Abkhazians
Afghanistan,Afghan,Afghans
Åland,Åland Island,Ålanders
Albania,Albanian,Albanians
Algeria,Algerian,Algerians
American Samoa,American Samoan,American Samoans
Andorra,Andorran,Andorrans
Angola,Angolan,Angolans
Anguilla,Anguillan,Anguillans
Antarctica,Antarctic,Antarctic residents
Antigua and Barbuda,Antiguan,Antiguans
Antigua and Barbuda,Barbudan,Barbudans
Argentina,Argentine,Argentines
Argentina,Argentinian,Argentinians
Armenia,Armenian,Armenians
Aruba,Aruban,Arubans
Australia,Australian,Australians
Austria,Austrian,Austrians
Azerbaijan,Azerbaijani,Azerbaijanis
Azerbaijan,Azeri,Azeris
The Bahamas,Bahamian,Bahamians
Bahrain,Bahraini,Bahrainis
Bangladesh,Bangladeshi,Bangladeshis
Barbados,Barbadian,Barbadians
Belarus,Belarusian,Belarusians
Belgium,Belgian,Belgians
Belize,Belizean,Belizeans
Benin,Beninese,Beninese
Benin,Beninois,Beninois
Bermuda,Bermudian,Bermudians
Bermuda,Bermudan,Bermudans
Bhutan,Bhutanese,Bhutanese
Bolivia,Bolivian,Bolivians
Bonaire,Bonaire,Bonaire Dutch
Bonaire,Bonairean,Bonaire Dutch
Bosnia and Herzegovina,Bosnian,Bosnians
Bosnia and Herzegovina,Herzegovinian,Herzegovinians
Botswana,Botswanan,Batswana (singular Motswana)
Bouvet Island,Bouvet Island,Bouvet Islanders
Brazil,Brazilian,Brazilians
British Indian Ocean Territory,BIOT,British
Brunei,Bruneian,Bruneians
Bulgaria,Bulgarian,Bulgarians
Burkina Faso,Burkinabé,Burkinabè
Burkina Faso,Burkinabé,Burkinabé
Burma,Burmese,Burmese
Burma,Burmese,Burman
Burundi,Burundian,Burundians
Burundi,Burundian,Barundi
Cabo Verde,Cabo Verdean,Cabo Verdeans
Cambodia,Cambodian,Cambodians
Cameroon,Cameroonian,Cameroonians
Canada,Canadian,Canadians
Cayman Islands,Caymanian,Caymanians
